D,T,15m,12m,9m,6m,3m,DTR,GPS
6,15,,,,,,1,A
6,30,,,,,,1,B
6,45,,,,,,1,C
6,1h15,,,,,,1,D
6,1h45,,,,,,1,E
6,2h15,,,,,,1,F
6,3h00,,,,,,1,G
6,4h00,,,,,,1,H
6,5h15,,,,,,1,I
6,6h00,,,,,,1,J
8,15,,,,,,1,B
8,30,,,,,,1,C
8,45,,,,,,1,D
8,60,,,,,,1,E
8,1h30,,,,,,1,F
8,1h45,,,,,,1,G
8,2h15,,,,,,1,H
8,2h45,,,,,,1,I
8,3h15,,,,,,1,J
8,4h15,,,,,,1,K
8,5h00,,,,,,1,L
8,6h00,,,,,,1,M
10,15,,,,,,1,B
10,30,,,,,,1,C
10,45,,,,,,1,D
10,60,,,,,,1,F
10,1h15,,,,,,1,G
10,1h45,,,,,,1,H
10,2h00,,,,,,1,I
10,2h15,,,,,,1,J
10,2h45,,,,,,1,K
10,3h00,,,,,,1,L
10,4h00,,,,,,1,M
10,4h15,,,,,,1,N
10,5h15,,,,,,1,O
10,5h30,,,,,,1,P
10,6h00,,,,,1,2,P
12,5,,,,,,1,A
12,10,,,,,,1,B
12,15,,,,,,1,B
12,20,,,,,,1,C
12,25,,,,,,1,C
12,30,,,,,,1,D
12,35,,,,,,1,D
12,40,,,,,,1,E
12,45,,,,,,1,E
12,50,,,,,,1,F
12,55,,,,,,1,F
12,60,,,,,,1,G
12,1h05,,,,,,1,G
12,1h10,,,,,,1,H
12,1h15,,,,,,1,H
12,1h20,,,,,,1,H
12,1h25,,,,,,1,I
12,1h30,,,,,,1,I
12,1h35,,,,,,1,J
12,1h40,,,,,,1,J
12,1h45,,,,,,1,J
12,1h50,,,,,,1,K
12,1h55,,,,,,1,K
12,2h00,,,,,,1,K
12,2h10,,,,,,1,L
12,2h15,,,,,,1,L
12,2h20,,,,,2,4,L
12,2h30,,,,,4,6,M
12,2h40,,,,,6,8,M
12,2h50,,,,,7,9,N
12,3h00,,,,,9,11,N
12,3h10,,,,,11,13,N
12,3h20,,,,,13,15,O
12,3h30,,,,,14,16,O
12,3h40,,,,,15,17,O
12,3h50,,,,,16,18,O
12,4h00,,,,,17,19,O
12,4h10,,,,,18,20,P
12,4h15,,,,,19,21,P
12,4h30,,,,,22,24,P
15,5,,,,,,1,A
15,10,,,,,,1,B
15,15,,,,,,1,C
15,20,,,,,,1,C
15,25,,,,,,1,D
15,30,,,,,,1,E
15,35,,,,,,1,E
15,40,,,,,,1,F
15,45,,,,,,1,G
15,50,,,,,,1,G
15,55,,,,,,1,H
15,60,,,,,,1,H
15,1h05,,,,,,1,I
15,1h10,,,,,,1,I
15,1h15,,,,,,1,J
15,1h20,,,,,2,4,J
15,1h25,,,,,4,6,K
15,1h30,,,,,6,8,K
15,1h35,,,,,8,10,L
15,1h40,,,,,11,13,L
15,1h45,,,,,13,15,L
15,1h50,,,,,15,17,M
15,1h55,,,,,17,19,M
15,2h00,,,,,18,20,M
18,5,,,,,,2,B
18,10,,,,,,2,B
18,15,,,,,,2,C
18,20,,,,,,2,D
18,25,,,,,,2,E
18,30,,,,,,2,F
18,35,,,,,,2,F
18,40,,,,,,2,G
18,45,,,,,,2,H
18,50,,,,,,2,H
18,55,,,,,1,3,I
18,60,,,,,5,7,J
18,1h05,,,,,8,10,J
18,1h10,,,,,11,13,K
18,1h15,,,,,14,16,K
18,1h20,,,,,17,19,L
18,1h25,,,,,21,23,L
18,1h30,,,,,23,25,M
18,1h35,,,,,26,28,M
18,1h40,,,,,28,30,M
18,1h45,,,,,31,33,N
18,1h50,,,,,34,36,N
18,1h55,,,,,36,38,N
18,2h00,,,,,38,40,O
20,5,,,,,,2,B
20,10,,,,,,2,B
20,15,,,,,,2,D
20,20,,,,,,2,D
20,25,,,,,,2,E
20,30,,,,,,2,F
20,35,,,,,,2,G
20,40,,,,,,2,H
20,45,,,,,1,3,I
20,50,,,,,4,6,I
20,55,,,,,9,11,J
20,60,,,,,13,15,K
20,1h05,,,,,16,18,K
20,1h10,,,,,20,22,L
20,1h15,,,,,24,26,L
20,1h20,,,,,27,29,M
20,1h25,,,,,30,32,M
20,1h30,,,,,34,36,M
22,5,,,,,,2,B
22,10,,,,,,2,C
22,15,,,,,,2,D
22,20,,,,,,2,E
22,25,,,,,,2,F
22,30,,,,,,2,G
22,35,,,,,,2,H
22,40,,,,,2,4,I
22,45,,,,,7,9,I
22,50,,,,,12,14,J
22,55,,,,,16,18,K
22,60,,,,,20,22,K
22,1h05,,,,,25,27,L
22,1h10,,,,,29,31,L
22,1h15,,,,,33,35,M
22,1h20,,,,,37,39,M
22,1h25,,,,,41,43,N
22,1h30,,,,,44,46,N
25,5,,,,,,2,B
25,10,,,,,,2,C
25,15,,,,,,2,D
25,20,,,,,,2,E
25,25,,,,,1,3,F
25,30,,,,,2,4,H
25,35,,,,,5,7,I
25,40,,,,,10,12,J
25,45,,,,,16,18,J
25,50,,,,,21,23,K
25,55,,,,,27,29,L
25,60,,,,,32,34,L
25,1h05,,,,,37,39,M
25,1h10,,,,1,41,45,M
25,1h15,,,,4,43,50,N
25,1h20,,,,7,45,55,N
25,1h25,,,,9,48,60,O
25,1h30,,,,11,50,64,O
28,5,,,,,,2,B
28,10,,,,,,2,D
28,15,,,,,,2,E
28,20,,,,,1,4,F
28,25,,,,,2,5,G
28,30,,,,,6,9,H
28,35,,,,,12,15,I
28,40,,,,,19,22,J
28,45,,,,,25,28,K
28,50,,,,,32,35,L
28,55,,,,2,36,41,M
28,60,,,,4,40,47,M
28,1h05,,,,8,43,54,N
28,1h10,,,,11,46,60,N
28,1h15,,,,14,48,65,O
28,1h20,,,,17,50,70,O
28,1h25,,,,20,53,76,O
28,1h30,,,,23,56,82,P
30,5,,,,,,2,B
30,10,,,,,,2,D
30,15,,,,,1,4,E
30,20,,,,,2,5,F
30,25,,,,,4,7,H
30,30,,,,,9,12,I
30,35,,,,,17,20,J
30,40,,,,,24,27,K
30,45,,,,1,31,35,L
30,50,,,,3,36,42,M
30,55,,,,6,39,48,M
30,60,,,,10,43,56,N
30,1h05,,,,14,46,63,N
30,1h10,,,,17,48,68,O
32,5,,,,,,3,B
32,10,,,,,,3,D
32,15,,,,,1,4,E
32,20,,,,,3,6,G
32,25,,,,,6,9,H
32,30,,,,,14,17,I
32,35,,,,,22,25,K
32,40,,,,1,29,33,K
32,45,,,,4,34,41,L
32,50,,,,7,39,49,M
32,55,,,,11,43,57,N
32,60,,,,15,46,64,N
32,1h05,,,,19,48,70,O
32,1h10,,,,23,50,76,O
35,5,,,,,,3,C
35,10,,,,,,3,D
35,15,,,,,2,5,F
35,20,,,,,5,8,H
35,25,,,,,11,14,I
35,30,,,,1,20,24,J
35,35,,,,2,27,32,K
35,40,,,,5,34,42,L
35,45,,,,9,39,51,M
35,50,,,,14,43,60,N
35,55,,,,18,47,68,N
35,60,,,,22,50,75,O
35,1h05,,,2,26,52,84,*
35,1h10,,,4,28,57,93,*
38,5,,,,,,3,C
38,10,,,,,1,4,E
38,15,,,,,4,7,F
38,20,,,,,8,11,H
38,25,,,,1,16,21,J
38,30,,,,3,24,31,K
38,35,,,,5,33,42,L
38,40,,,,10,38,52,M
38,45,,,,15,43,62,N
38,50,,,,20,47,71,N
38,55,,,2,23,50,79,O
38,60,,,5,27,53,89,P
38,1h05,,,8,29,58,99,*
38,1h10,,,11,31,62,108,*
40,5,,,,,,3,C
40,10,,,,,2,5,E
40,15,,,,,4,7,G
40,20,,,,1,9,14,H
40,25,,,,2,19,25,J
40,30,,,,4,28,36,K
40,35,,,,8,35,47,L
40,40,,,,13,40,57,M
40,45,,,1,18,45,68,N
40,50,,,2,23,48,77,O
40,55,,,5,26,52,87,O
40,60,,,8,29,57,98,P
40,1h05,,,12,31,61,108,*
40,1h10,,,15,33,66,118,*
42,5,,,,,,3,C
42,10,,,,,2,6,E
42,15,,,,,5,9,G
42,20,,,,1,12,17,I
42,25,,,,3,22,29,J
42,30,,,,6,31,41,L
42,35,,,,11,37,52,M
42,40,,,1,16,43,64,N
42,45,,,3,21,47,75,*
42,50,,,6,24,50,84,*
42,55,,,8,29,55,96,*
42,60,,,13,30,60,107,*
45,5,,,,,,3,C
45,10,,,,,3,7,F
45,15,,,,1,6,11,H
45,20,,,,3,15,22,I
45,25,,,,5,25,34,K
45,30,,,,9,35,48,L
45,35,,,1,15,40,60,M
45,40,,,3,20,46,73,N
45,45,,,6,24,50,84,*
45,50,,,10,28,54,96,*
45,55,,,14,30,60,108,*
45,60,,1,18,32,65,121,*
48,5,,,,,,4,D
48,10,,,,,4,8,F
48,15,,,,2,7,13,H
48,20,,,,4,19,27,J
48,25,,,,7,30,41,K
