GF low,GF high,O2,depth,stop_depth,min_duration
10,10,21,14,3,24
10,10,21,14,6,24
10,10,21,14,9,48
10,10,21,27,3,24
10,10,21,27,6,24
10,10,21,27,9,24
10,10,21,27,12,24
10,10,21,27,15,24
10,10,21,39,3,24
10,10,21,39,6,24
10,10,21,39,9,24
10,10,21,39,12,24
10,10,21,39,15,24
10,10,21,52,3,24
10,10,21,52,6,24
10,10,21,52,9,24
10,10,21,52,12,24
10,10,21,52,15,24
10,10,21,65,3,24
10,10,21,65,6,24
10,10,21,65,9,24
10,10,21,65,12,24
10,10,21,65,15,24
10,10,25,14,3,24
10,10,25,14,6,24
10,10,25,14,9,120
10,10,25,27,3,24
10,10,25,27,6,24
10,10,25,27,9,24
10,10,25,27,12,24
10,10,25,27,15,24
10,10,25,39,3,24
10,10,25,39,6,24
10,10,25,39,9,24
10,10,25,39,12,24
10,10,25,39,15,24
10,10,25,52,3,24
10,10,25,52,6,24
10,10,25,52,9,24
10,10,25,52,12,24
10,10,25,52,15,24
10,10,25,65,3,24
10,10,25,65,6,24
10,10,25,65,9,24
10,10,25,65,12,24
10,10,25,65,15,24
10,10,29,14,3,24
10,10,29,14,6,24
10,10,29,27,3,24
10,10,29,27,6,24
10,10,29,27,9,24
10,10,29,27,12,24
10,10,29,27,15,48
10,10,29,39,3,24
10,10,29,39,6,24
10,10,29,39,9,24
10,10,29,39,12,24
10,10,29,39,15,24
10,10,29,52,3,24
10,10,29,52,6,24
10,10,29,52,9,24
10,10,29,52,12,24
10,10,29,52,15,24
10,10,29,65,3,24
10,10,29,65,6,24
10,10,29,65,9,24
10,10,29,65,12,24
10,10,29,65,15,24
10,10,32,14,3,24
10,10,32,14,6,24
10,10,32,27,3,24
10,10,32,27,6,24
10,10,32,27,9,24
10,10,32,27,12,24
10,10,32,27,15,72
10,10,32,39,3,24
10,10,32,39,6,24
10,10,32,39,9,24
10,10,32,39,12,24
10,10,32,39,15,24
10,10,32,52,3,24
10,10,32,52,6,24
10,10,32,52,9,24
10,10,32,52,12,24
10,10,32,52,15,24
10,10,32,65,3,24
10,10,32,65,6,24
10,10,32,65,9,24
10,10,32,65,12,24
10,10,32,65,15,24
10,10,36,14,3,24
10,10,36,14,6,72
10,10,36,27,3,24
10,10,36,27,6,24
10,10,36,27,9,24
10,10,36,27,12,24
10,10,36,39,3,24
10,10,36,39,6,24
10,10,36,39,9,24
10,10,36,39,12,24
10,10,36,39,15,24
10,10,36,52,3,24
10,10,36,52,6,24
10,10,36,52,9,24
10,10,36,52,12,24
10,10,36,52,15,24
10,10,36,65,3,24
10,10,36,65,6,24
10,10,36,65,9,24
10,10,36,65,12,24
10,10,36,65,15,24
10,10,40,14,3,24
10,10,40,27,3,24
10,10,40,27,6,24
10,10,40,27,9,24
10,10,40,27,12,48
10,10,40,39,3,24
10,10,40,39,6,24
10,10,40,39,9,24
10,10,40,39,12,24
10,10,40,39,15,24
10,10,40,52,3,24
10,10,40,52,6,24
10,10,40,52,9,24
10,10,40,52,12,24
10,10,40,52,15,24
10,10,40,65,3,24
10,10,40,65,6,24
10,10,40,65,9,24
10,10,40,65,12,24
10,10,40,65,15,24
10,28,21,14,3,24
10,28,21,14,6,24
10,28,21,14,9,48
10,28,21,27,3,24
10,28,21,27,6,24
10,28,21,27,9,24
10,28,21,27,12,24
10,28,21,27,15,24
10,28,21,39,3,24
10,28,21,39,6,24
10,28,21,39,9,24
10,28,21,39,12,24
10,28,21,39,15,24
10,28,21,52,3,24
10,28,21,52,6,24
10,28,21,52,9,24
10,28,21,52,12,24
10,28,21,52,15,24
10,28,21,65,3,24
10,28,21,65,6,24
10,28,21,65,9,24
10,28,21,65,12,24
10,28,21,65,15,24
10,28,25,14,3,24
10,28,25,14,6,24
10,28,25,14,9,120
10,28,25,27,3,24
10,28,25,27,6,24
10,28,25,27,9,24
10,28,25,27,12,24
10,28,25,27,15,24
10,28,25,39,3,24
10,28,25,39,6,24
10,28,25,39,9,24
10,28,25,39,12,24
10,28,25,39,15,24
10,28,25,52,3,24
10,28,25,52,6,24
10,28,25,52,9,24
10,28,25,52,12,24
10,28,25,52,15,24
10,28,25,65,3,24
10,28,25,65,6,24
10,28,25,65,9,24
10,28,25,65,12,24
10,28,25,65,15,24
10,28,29,14,3,24
10,28,29,14,6,24
10,28,29,27,3,24
10,28,29,27,6,24
10,28,29,27,9,24
10,28,29,27,12,24
10,28,29,27,15,48
10,28,29,39,3,24
10,28,29,39,6,24
10,28,29,39,9,24
10,28,29,39,12,24
10,28,29,39,15,24
10,28,29,52,3,24
10,28,29,52,6,24
10,28,29,52,9,24
10,28,29,52,12,24
10,28,29,52,15,24
10,28,29,65,3,24
10,28,29,65,6,24
10,28,29,65,9,24
10,28,29,65,12,24
10,28,29,65,15,24
10,28,32,14,3,48
10,28,32,14,6,24
10,28,32,27,3,24
10,28,32,27,6,24
10,28,32,27,9,24
10,28,32,27,12,24
10,28,32,27,15,72
10,28,32,39,3,24
10,28,32,39,6,24
10,28,32,39,9,24
10,28,32,39,12,24
10,28,32,39,15,24
10,28,32,52,3,24
10,28,32,52,6,24
10,28,32,52,9,24
10,28,32,52,12,24
10,28,32,52,15,24
10,28,32,65,3,24
10,28,32,65,6,24
10,28,32,65,9,24
10,28,32,65,12,24
10,28,32,65,15,24
10,28,36,14,3,48
10,28,36,14,6,72
10,28,36,27,3,24
10,28,36,27,6,24
10,28,36,27,9,24
10,28,36,27,12,24
10,28,36,39,3,24
10,28,36,39,6,24
10,28,36,39,9,24
10,28,36,39,12,24
10,28,36,39,15,24
10,28,36,52,3,24
10,28,36,52,6,24
10,28,36,52,9,24
10,28,36,52,12,24
10,28,36,52,15,24
10,28,36,65,3,24
10,28,36,65,6,24
10,28,36,65,9,24
10,28,36,65,12,24
10,28,36,65,15,24
10,28,40,14,3,72
10,28,40,27,3,24
10,28,40,27,6,24
10,28,40,27,9,24
10,28,40,27,12,48
10,28,40,39,3,24
10,28,40,39,6,24
10,28,40,39,9,24
10,28,40,39,12,24
10,28,40,39,15,24
10,28,40,52,3,24
10,28,40,52,6,24
10,28,40,52,9,24
10,28,40,52,12,24
10,28,40,52,15,24
10,28,40,65,3,24
10,28,40,65,6,24
10,28,40,65,9,24
10,28,40,65,12,24
10,28,40,65,15,24
10,46,21,14,3,48
10,46,21,14,6,24
10,46,21,14,9,48
10,46,21,27,3,24
10,46,21,27,6,24
10,46,21,27,9,24
10,46,21,27,12,24
10,46,21,27,15,24
10,46,21,39,3,24
10,46,21,39,6,24
10,46,21,39,9,24
10,46,21,39,12,24
10,46,21,39,15,24
10,46,21,52,3,24
10,46,21,52,6,24
10,46,21,52,9,24
10,46,21,52,12,24
10,46,21,52,15,24
10,46,21,65,3,24
10,46,21,65,6,24
10,46,21,65,9,24
10,46,21,65,12,24
10,46,21,65,15,24
10,46,25,14,3,48
10,46,25,14,6,24
10,46,25,14,9,120
10,46,25,27,3,24
10,46,25,27,6,24
10,46,25,27,9,24
10,46,25,27,12,48
10,46,25,27,15,24
10,46,25,39,3,24
10,46,25,39,6,24
10,46,25,39,9,24
10,46,25,39,12,24
10,46,25,39,15,24
10,46,25,52,3,24
10,46,25,52,6,24
10,46,25,52,9,24
10,46,25,52,12,24
10,46,25,52,15,24
10,46,25,65,3,24
10,46,25,65,6,24
10,46,25,65,9,24
10,46,25,65,12,24
10,46,25,65,15,24
10,46,29,14,3,48
10,46,29,14,6,24
10,46,29,27,3,24
10,46,29,27,6,24
10,46,29,27,9,24
10,46,29,27,12,24
10,46,29,27,15,48
10,46,29,39,3,24
10,46,29,39,6,24
10,46,29,39,9,24
10,46,29,39,12,24
10,46,29,39,15,24
10,46,29,52,3,24
10,46,29,52,6,24
10,46,29,52,9,24
10,46,29,52,12,24
10,46,29,52,15,24
10,46,29,65,3,24
10,46,29,65,6,24
10,46,29,65,9,24
10,46,29,65,12,24
10,46,29,65,15,24
10,46,32,14,3,72
10,46,32,14,6,24
10,46,32,27,3,24
10,46,32,27,6,24
10,46,32,27,9,24
10,46,32,27,12,24
10,46,32,27,15,72
10,46,32,39,3,24
10,46,32,39,6,24
10,46,32,39,9,24
10,46,32,39,12,24
10,46,32,39,15,24
10,46,32,52,3,24
10,46,32,52,6,24
10,46,32,52,9,24
10,46,32,52,12,24
10,46,32,52,15,24
10,46,32,65,3,24
